Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/04/02 2:30:21 PM GMT+5:30,I Agree,cda802621b902dbca06cfb8968f59b0a,Male,19,High School graduate,United States,Enthusiastic,Yes,Took piano lessons for a few months. Have actively been making electronic and hip hop music using digital audio workstations for nearly 5 years.,2,Hip hop,hip hop,Sometimes,Sometimes,Rarely,Always,Never,Always,Sometimes,Never,Never,Always,Sometimes,Never,Never,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,"Started making more music than I listen to. Got into pop music like Charli XCX, PC Music, and Kim Petras",I feel more or less the same.,13,22,16,5,2.5,2,4,2.25
2019/04/02 2:31:11 PM GMT+5:30,I Agree,b4f7ee880fda5fe35a75bde91cf366e0,Male,19,High School graduate,Sweden,Enthusiastic,Yes,"Guitar, 4 years",5,rock,hip hop,Often,Never,Never,Always,Rarely,Often,Sometimes,Rarely,Never,Always,Never,Never,Never,Often,Some of the time,Most of the time,A little of the time,Most of the time,Some of the time,A little of the time,Most of the time,Most of the time,Most of the time,Most of the time,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,? ,I feel worse now,10,21,34,3.25,2.75,2.5,3,3.75
2019/04/02 2:48:37 PM GMT+5:30,I Agree,6f88cfeddd0677e078541ed5da9eecad,Male,40,Professional degree,Spain,Enthusiastic,Yes,Piano and theory 3 years ,3,Rock ,Mixed,Always,Never,Never,Often,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Often,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,None of the time,Some of the time,Strongly Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Growing,I feel better now,8,15,20,4.75,2.5,1.25,3.5,4
2019/04/02 3:13:34 PM GMT+5:30,I Agree,5606da6ed0df43b774e43df2c7517a46,Male,30,Master's degree,France,Enthusiastic,No,,4,jazz,hip hop,Always,Rarely,Sometimes,Sometimes,Rarely,Always,Often,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Most of the time,All of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,"I now try to avoid screens (especially late at night), so I listen to more music and sometimes put albums I like ""on rotation"" for a while",I feel more or less the same.,22,18,36,3.5,2,2.25,4.5,3.25
2019/04/02 3:25:23 PM GMT+5:30,I Agree,ab4b96602e876d14d49e9180fb3fa147,Male,26,Master's degree,Ireland,Enthusiastic,Yes,"Piano, singing, less than 1 year",4,pop,rock,Always,Rarely,Rarely,Often,Never,Often,Often,Never,Never,Sometimes,Never,Never,Rarely,Often,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,None of the time,None of the time,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Its gone up,I feel better now,11,19,19,5,3.25,4,3.25,3
2019/04/02 3:26:14 PM GMT+5:30,I Agree,9aa355c7f075380a6f476b3bb8145a80,Male,27,Master's degree,Ukraine,Enthusiastic,No,,1,pop,Mixed,Often,Never,Never,Often,Never,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Most of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,A little of the time,None of the time,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,"In the past year music pattern didn't change a lot,  but in the past 4-5 years changed to more pop music",I feel worse now,9,15,21,5,3,1.5,2,4.25
2019/04/02 3:43:38 PM GMT+5:30,I Agree,3fb78df590b8148db47d98eb1efebc0d,Male,25,Bachelor's degree,Mexico,Enthusiastic,No,,6,Rock,rock,Rarely,Never,Rarely,Always,Never,Always,Always,Never,Never,Sometimes,Often,Rarely,Never,Often,All of the time,Most of the time,Some of the time,None of the time,Some of the time,A little of the time,None of the time,Most of the time,A little of the time,A little of the time,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,I’ve listened to more EDM and reggaeton than ever before,I feel better now,13,22,27,2.75,1.5,3.5,4.75,4.75
2019/04/02 3:47:53 PM GMT+5:30,I Agree,569909df2da3acb80d7137fa400fa353,Male,33,Professional degree,Russia,Enthusiastic,No,,1,rock,jazz,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Never,Often,Some of the time,Most of the time,Some of the time,A little of the time,Some of the time,A little of the time,Some of the time,Some of the time,A little of the time,A little of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,"A little. I've started listening more ambient, electronics with noise, recorded on tape kind of stuff. But not only this. ",I feel better now,21,18,27,4.5,3.25,2,2.75,4
2019/04/02 4:11:44 PM GMT+5:30,I Agree,13b1e0b1ad9df2bf07d698a7ab581830,Female,30,Bachelor's degree,Italy,Enthusiastic,Yes,"Piano, 3 years",4,rock,jazz,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,None of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,It hasn’t changed,I feel worse now,18,16,14,3.25,4,3.5,4,2.75
2019/04/02 4:12:56 PM GMT+5:30,I Agree,3afe7a7fc64c7bf714d4ac9343e946ca,Male,24,High School graduate,Hungary,Enthusiastic,Yes,"singing, 4 years",6,jazz,Mixed,Often,Never,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Never,Often,Never,Rarely,Rarely,Sometimes,Some of the time,Some of the time,A little of the time,A little of the time,Some of the time,None of the time,Some of the time,Some of the time,A little of the time,A little of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,switched to streaming and I don't really listen to full albums as much as before,I feel more or less the same.,14,18,24,4.75,3,3.75,4.75,3.5
2019/04/02 6:15:18 PM GMT+5:30,I Agree,7de8edf5ba59930a4d0e4657985b6014,Male,27,Master's degree,United States,Enthusiastic,Yes,5 years of guitar lessons,3,rock,Mixed,Never,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Often,A little of the time,Some of the time,None of the time,Some of the time,Some of the time,None of the time,Some of the time,Most of the time,Some of the time,Some of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,It hasn't ,I feel worse now,19,19,26,5,3,1.25,4,4
2019/04/02 6:26:39 PM GMT+5:30,I Agree,5abdd22b70ae66cbd44cb959424b402b,Male,41,High School graduate,Sweden,Enthusiastic,No,,6,jazz,jazz,Often,Never,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Never,Often,Never,Never,Never,Sometimes,Some of the time,Some of the time,Some of the time,None of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,not much,I feel more or less the same.,12,18,19,3.5,3.25,3,4,2.75
2019/04/02 6:33:47 PM GMT+5:30,I Agree,1f1d719327ce9bacd7e7540eecc99d6f,Female,26,Bachelor's degree,Chile,Enthusiastic,No,,2,jazz,jazz,Always,Rarely,Sometimes,Often,Rarely,Often,Often,Never,Never,Often,Sometimes,Never,Never,Often,A little of the time,Most of the time,Some of the time,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,The hours (time of day) I listen to music shifted a bit ,I feel better now,14,20,19,4.25,5,1,2,2.25
2019/04/02 6:38:53 PM GMT+5:30,I Agree,ee235fb16c76a2aed3add8c22b8a7ffb,Male,24,Bachelor's degree,Brazil,Enthusiastic,Yes,One year of piano,8,Mixed,jazz,Always,Rarely,Never,Always,Never,Always,Always,Never,Never,Often,Never,Never,Never,Always,Some of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,Most of the time,All of the time,None of the time,None of the time,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Decreased only due to job restrictions,I feel more or less the same.,9,24,20,4.25,4.75,1,3.5,2
2019/04/02 7:53:25 PM GMT+5:30,I Agree,60a663dbebf8bd0230f43f5907946287,Male,31,Bachelor's degree,United States,Enthusiastic,Yes,Trumpet; 12,3,Mixed,classical,Never,Never,Never,Sometimes,Never,Often,Rarely,Never,Never,Rarely,Never,Never,Never,Sometimes,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,I don’t think it has changed,I feel more or less the same.,8,14,11,4,3.75,1.75,4.25,1
2019/04/02 7:54:44 PM GMT+5:30,I Agree,db3e025992f31b30213bf991fb754092,Male,25,Professional degree,Brazil,Moderate,No,,4,jazz,jazz,Often,Rarely,Never,Often,Never,Often,Often,Never,Never,Often,Rarely,Never,Never,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,More streaming,I feel better now,10,20,16,3.5,2.75,2,4.75,2.25
2019/04/02 8:50:39 PM GMT+5:30,I Agree,ba37fed21887e81e34946224611c404b,Male,28,Bachelor's degree,Canada,Enthusiastic,Yes,Guitar,6,rock,Mixed,Always,Rarely,Never,Always,Never,Always,Often,Rarely,Never,Often,Rarely,Sometimes,Never,Always,A little of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,it hasn't,I feel better now,13,23,18,4.5,3.75,3.75,4.25,1.75
2019/04/02 8:50:48 PM GMT+5:30,I Agree,dc551a610f08d6defa60cd72cd7f8601,Male,20,High School graduate,United States,Enthusiastic,No,None sorry:/,4.5,rock,jazz,Often,Sometimes,Rarely,Often,Rarely,Often,Often,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Often,Some of the time,Most of the time,None of the time,A little of the time,A little of the time,None of the time,Some of the time,All of the time,A little of the time,Most of the time,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Has went down A LOT since I started school and working full time,I feel better now,19,20,27,3.75,3,2,3,2.5
2019/04/02 9:16:45 PM GMT+5:30,I Agree,289aef77300adc9203964b501163add2,Female,27,Bachelor's degree,Singapore,Enthusiastic,No,,1,jazz,classical,Often,Sometimes,Never,Often,Rarely,Often,Often,Sometimes,Never,Often,Rarely,Sometimes,Rarely,Often,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Not much cause I just had a kid so less time for music but taste wise is pretty much the same,I feel better now,17,20,17,3.75,4,4.5,5,3
2019/04/02 9:19:52 PM GMT+5:30,I Agree,0411187ec1298cca816ce3d255382242,Male,23,Bachelor's degree,United States,Enthusiastic,Yes,Saxophone/Guitar - 12 years,4,Mixed,classical,Always,Sometimes,Always,Always,Rarely,Always,Always,Always,Never,Always,Rarely,Sometimes,Never,Always,A little of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Some of the time,Some of the time,A little of the time,A little of the time,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,It hasn't,I feel more or less the same.,22,25,19,4.25,2.75,1.75,2.25,2.25
2019/04/02 9:37:49 PM GMT+5:30,I Agree,1573743175758f456b6da233973f7d65,Female,31,Master's degree,Denmark,Enthusiastic,No,,3,jazz,jazz,Often,Sometimes,Never,Always,Never,Often,Often,Rarely,Never,Sometimes,Never,Never,Never,Often,A little of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,More diversity and more energy,I feel better now,11,20,15,3.75,2.5,3.25,5,3.5
2019/04/02 10:19:36 PM GMT+5:30,I Agree,34af3c848ee0b6a67b90e86a766b7788,Male,25,High School graduate,Denmark,Enthusiastic,Yes,"Besides general music theory, I've practised the piano (on/off 15 years), guitar (on/off 10 years), singning (on/off 10 years) and some drums",6,classical,Mixed,Often,Rarely,Rarely,Always,Never,Often,Often,Sometimes,Never,Often,Never,Rarely,Never,Often,None of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Most of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,"As in frequency or simply preference? Frequence is similar as ever, preference changes all the time, or evolves, so to speak.",Can't say,13,21,15,5,4.5,2.25,4.25,3.5
2019/04/02 10:38:43 PM GMT+5:30,I Agree,a838a5ed021de5b4256038f9f53b8c53,Male,23,High School graduate,United Kingdom,Enthusiastic,No,,4,jazz,rock,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Often,Never,Sometimes,Never,Sometimes,All of the time,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Most of the time,A little of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,It has decreased and narrowed slightly,I feel worse now,15,16,33,4.25,2,1.75,4,4.75
2019/04/02 10:54:32 PM GMT+5:30,I Agree,8dd077ec1d17659585234f35009556ce,Male,48,Bachelor's degree,United States,Enthusiastic,Yes,Bass guitar / 2 years,1.5,rock,rock,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Often,Rarely,Never,Often,Often,Rarely,Never,Often,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,Some of the time,Some of the time,Some of the time,A little of the time,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,listening to slightly more current artist I think?,I feel more or less the same.,17,20,22,4.25,2.75,2,2.75,3.75
2019/04/02 11:30:08 PM GMT+5:30,I Agree,f75a893c06dbe7c64381d64f68ba05ea,Male,25,Bachelor's degree,United States,Enthusiastic,No,,15,Rock,Rock,Often,Rarely,Sometimes,Always,Rarely,Often,Always,Never,Rarely,Always,Rarely,Never,Never,Often,None of the time,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Most of the time,A little of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,I have been listening to more music than ever before,I feel more or less the same.,14,23,30,4,1.75,1.5,4.5,4.5
2019/04/02 11:55:34 PM GMT+5:30,I Agree,de2aa0fcea42dbe08be0f2f37e8fd1ca,Other,28,High School graduate,United States,Enthusiastic,No,,2,Mixed,rock,Often,Sometimes,Sometimes,Often,Rarely,Often,Always,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Often,Most of the time,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,Most of the time,A little of the time,A little of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Less discovery,I feel better now,18,21,27,3.5,2.5,1.75,3.75,3.5
2019/04/03 12:17:53 AM GMT+5:30,I Agree,d1511c19760f6f94d78ee934075b9efb,Female,31,Bachelor's degree,United States,Enthusiastic,Yes,"clarinet- 8 years, saxophone- 6 years, electric bass/guitar- 3 years",4,rock,pop,Often,Rarely,Sometimes,Always,Sometimes,Often,Often,Rarely,Rarely,Always,Never,Never,Never,Often,A little of the time,Some of the time,A little of the time,A little of the time,Most of the time,A little of the time,None of the time,A little of the time,None of the time,A little of the time,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,more instrumental,I feel better now,15,22,21,4.5,1.75,3,4,3.25
2019/04/03 12:24:02 AM GMT+5:30,I Agree,838d5b549dcb12cf049aef4f0d1c582b,Male,32,Master's degree,Netherlands,Enthusiastic,No,,2,jazz,rock,Often,Rarely,Never,Often,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Rarely,A little of the time,Some of the time,A little of the time,None of the time,Most of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,not much,I feel more or less the same.,9,15,19,3.75,2.75,2.75,3,2.5
